,VEIC,DTHR,COD_LINHA,coords,nearest,idx,distances
696545,BL300,2023-05-02 21:36:46-03:00,022,"(-25.474998, -49.291783)","[-25.47536915098794, -49.29208526932882]",0.5991943605236657,51.13153439864128
696546,BL300,2023-05-02 21:36:41-03:00,022,"(-25.475123, -49.292088)","[-25.47536915098794, -49.29208526932882]",0.5991943605236657,27.269991840553377
696547,BL300,2023-05-02 21:36:31-03:00,022,"(-25.475406, -49.292018)","[-25.47536915098794, -49.29208526932882]",0.5991943605236657,7.9007623196962475
696548,BL300,2023-05-02 21:36:21-03:00,022,"(-25.475733, -49.292088)","[-25.47560340824344, -49.29200868666976]",0.5971802618328298,16.422844317221205
696549,BL300,2023-05-02 21:36:16-03:00,022,"(-25.475838, -49.2923)","[-25.47575663334779, -49.29242852209019]",0.5961732124874118,15.756774337011906
696550,BL300,2023-05-02 21:35:01-03:00,022,"(-25.476185, -49.292235)","[-25.476163909199695, -49.292277757825104]",0.595166163141994,4.893434233754494
696551,BL300,2023-05-02 21:34:51-03:00,022,"(-25.476495, -49.29209)","[-25.476570276986052, -49.29212766411223]",0.594159113796576,9.15895368513176
696552,BL300,2023-05-02 21:34:41-03:00,022,"(-25.476878, -49.292341)","[-25.476805577047354, -49.29239551503838]",0.5901309164149043,9.716979282459071
696553,BL300,2023-05-02 21:34:36-03:00,022,"(-25.477183, -49.292275)","[-25.47734294466827, -49.29225735391901]",0.5881168177240684,17.807305297667835
696554,BL300,2023-05-02 21:34:16-03:00,022,"(-25.478905, -49.292125)","[-25.479067810511797, -49.292137646844935]",0.581067472306143,18.08093718150072
696555,BL300,2023-05-02 21:34:06-03:00,022,"(-25.47983, -49.292228)","[-25.47976422402139, -49.292213708904114]",0.5780463242698892,7.427018349877024
696556,BL300,2023-05-02 21:33:56-03:00,022,"(-25.480733, -49.292448)","[-25.479922645160112, -49.29226706074792]",0.5770392749244713,91.59636005665571
696557,BL300,2023-05-02 21:33:51-03:00,022,"(-25.481253, -49.292495)","[-25.479922645160112, -49.29226706074792]",0.5770392749244713,149.14846648228055
696558,BL300,2023-05-02 21:33:16-03:00,022,"(-25.485533, -49.29398)","[-25.48575184007202, -49.29236454065004]",0.5548841893252769,164.23307873682987
696559,BL300,2023-05-02 21:33:11-03:00,022,"(-25.48609, -49.294121)","[-25.48626649262545, -49.292465630373954]",0.553877139979859,167.59054850207892
696560,BL300,2023-05-02 21:32:41-03:00,022,"(-25.489008, -49.294073)","[-25.48814733742588, -49.29204148224369]",0.5458207452165156,225.41987873650584
696561,BL300,2023-05-02 21:31:46-03:00,022,"(-25.489363, -49.294013)","[-25.48922527077938, -49.29173513220894]",0.5427995971802618,229.5395942370136
696562,BL300,2023-05-02 21:31:16-03:00,022,"(-25.491135, -49.293823)","[-25.491517530126583, -49.293057310110164]",0.5367573011077543,87.87874587051564
696563,BL300,2023-05-02 21:31:11-03:00,022,"(-25.491451, -49.293785)","[-25.491517530126583, -49.293057310110164]",0.5367573011077543,73.53572057099872
696564,BL300,2023-05-02 21:31:06-03:00,022,"(-25.49158, -49.29358)","[-25.491517530126583, -49.293057310110164]",0.5367573011077543,53.00742104330062
696565,BL300,2023-05-02 21:31:01-03:00,022,"(-25.491565, -49.293213)","[-25.491517530126583, -49.293057310110164]",0.5367573011077543,16.513501785454817
696566,BL300,2023-05-02 21:30:16-03:00,022,"(-25.491731, -49.293058)","[-25.491517530126583, -49.293057310110164]",0.5367573011077543,23.648349596440326
696567,BL300,2023-05-02 21:30:11-03:00,022,"(-25.491853, -49.293045)","[-25.491517530126583, -49.293057310110164]",0.5367573011077543,37.18404490990458
696568,BL300,2023-05-02 21:30:01-03:00,022,"(-25.492285, -49.292988)","[-25.492614552247748, -49.292937444774566]",0.5357502517623364,36.86004599117036
696569,BL300,2023-05-02 21:29:51-03:00,022,"(-25.492633, -49.29281)","[-25.492614552247748, -49.292937444774566]",0.5357502517623364,12.975735284909279
696570,BL300,2023-05-02 21:29:41-03:00,022,"(-25.49258, -49.291818)","[-25.492526358907078, -49.29189745614292]",0.5337361530715005,9.956568677632495
696571,BL300,2023-05-02 21:29:36-03:00,022,"(-25.49256, -49.291431)","[-25.492515096936145, -49.29139877848684]",0.5327291037260826,5.9363208342469855
696572,BL300,2023-05-02 21:29:11-03:00,022,"(-25.492773, -49.29125)","[-25.492820662037147, -49.29126968836056]",0.5307150050352467,5.6388941138585995
696573,BL300,2023-05-02 21:29:01-03:00,022,"(-25.493026, -49.291223)","[-25.492965447748386, -49.29126369632985]",0.5297079556898288,7.85745821245941
696574,BL300,2023-05-02 21:28:41-03:00,022,"(-25.494388, -49.291875)","[-25.494197855442046, -49.29178754293957]",0.5236656596173213,22.825927971136178
696575,BL300,2023-05-02 21:28:36-03:00,022,"(-25.494753, -49.292138)","[-25.49459022250597, -49.29207287116395]",0.5226586102719033,19.1846646170032
696576,BL300,2023-05-02 21:27:36-03:00,022,"(-25.495105, -49.29209)","[-25.49495232669073, -49.29232735398466]",0.5216515609264853,29.249739541381633
